datetime,open,high,low,close,volume
2026-02-11,416.17999,416.45999,401.01001,404.37,42491000
2026-02-12,405.0,406.20001,398.01001,401.84,40802400
2026-02-13,404.45001,405.54001,398.049988,401.32001,34091600
2026-02-17,399.22,400.51999,394.53,396.85999,32078800
2026-02-18,398.13,402.56,396.32001,399.60001,23223400
2026-02-19,400.69,404.42999,396.67001,398.45999,28234000
2026-02-20,396.10999,400.12,395.16,397.23001,34015200
2026-02-23,395.0,395.35999,383.10001,384.47,43238300
2026-02-24,384.14001,389.35999,381.70999,389.0,33884700
2026-02-25,390.53,401.47,390.16,400.60001,43625500
2026-02-26,404.70999,407.48999,398.73999,401.72,34405900
2026-02-27,390.88,396.82001,389.88,392.73999,51367200
2026-03-02,392.85999,401.19,390.63,398.54999,35474900
2026-03-03,393.14001,406.70001,392.67001,403.92999,38199200
2026-03-04,401.26999,411.029999,400.31,405.20001,35808000
2026-03-05,404.42001,411.60999,404.39999,410.67999,39001300
2026-03-06,409.20001,413.049988,408.51001,408.95999,31123900
2026-03-09,404.92001,410.20999,403.5,409.41,30131900
2026-03-10,410.029999,410.20001,402.92999,405.76001,31706400
2026-03-11,405.57001,409.01001,401.59,404.88,25512100
2026-03-12,404.63,406.12,401.70999,401.85999,27263900
2026-03-13,401.0,404.79999,394.25,395.54999,26848000
2026-03-16,398.070007,400.63,394.79001,399.95001,27733700
2026-03-17,400.26999,404.39999,397.75,399.41,26228300
2026-03-18,397.13,398.0,391.0,391.79001,25908500
2026-03-19,390.10001,392.48999,387.059998,389.019989,25138800
2026-03-20,386.79001,387.0,380.12,381.87,50853200
2026-03-23,383.89999,387.20999,381.67999,383.0,29680100
2026-03-24,382.35999,382.47,371.85001,372.73999,42733600
2026-03-25,376.92001,377.059998,369.63,371.040009,31077200
