feature,coefficient
eps,0.0006381720052471799
price_change_pct,0.00010779710570852009
momentum_5,6.442719894949703e-05
atr_14,5.529708565435118e-05
pe_ratio,4.361569852098767e-05
ma_5,-3.8712660426363084e-05
ma_10,-3.113405052154451e-05
macd,-2.272930941749032e-05
rsi_14,2.19625160295145e-05
ma_20,1.4472563483527992e-05
bollinger_width,3.138686506189115e-06
trend_signal,6.595102059430365e-07
volume_spike_ratio,4.920654270175747e-07
relative_strength_5,4.666857544145193e-07
volatility,4.1081092463174865e-07
volatility_5,3.7085908371014674e-07
price_vs_ma_10,3.706327852575714e-07
market_return_5,6.622718785953515e-08
avg_volume,-6.562448186534397e-12
market_cap,2.717397632426451e-15
avg_sentiment,0.0
