date,open,high,low,close,volume
2021-04-05,57.3,57.32,56.14,56.5,23264844
2021-04-06,56.84,57.54,56.26,56.34,18926300
2021-04-07,56.39,56.77,56.24,56.59,22385000
2021-04-08,55.93,56.08,55.32,56.0,21999300
2021-04-09,56.0,56.44,55.53,55.87,20020746
2021-04-12,56.76,56.79,55.31,55.5,20238800
2021-04-13,55.3,55.98,55.09,55.71,19370640
2021-04-14,56.41,58.01,56.25,57.32,28051133
2021-04-15,57.42,57.42,56.78,56.98,23250300
2021-04-16,57.36,57.68,56.44,56.66,22752001
2021-04-19,56.75,57.14,55.96,56.48,21123332
2021-04-20,56.47,56.47,54.78,55.29,21782100
2021-04-21,54.5,56.13,54.3,56.0,16625600
2021-04-22,55.99,55.99,55.02,55.27,21600105
2021-04-23,55.27,55.94,55.18,55.57,15341434
2021-04-26,55.47,56.29,55.44,55.68,16083800
2021-04-27,56.01,56.63,55.81,56.41,19278600
2021-04-28,56.91,58.46,56.79,58.11,24729800
2021-04-29,58.92,59.48,58.15,58.94,27318400
2021-04-30,58.33,58.89,57.16,57.24,30518400
2021-05-03,57.98,58.99,57.74,58.82,20509600
2021-05-04,59.0,59.5,58.51,59.19,23522218
2021-05-05,59.77,61.05,59.4,60.97,31526221
2021-05-06,60.86,61.64,60.03,61.55,26836800
2021-05-07,61.07,62.47,60.85,62.43,33610609
2021-05-10,63.24,64.02,62.53,62.58,31956600
2021-05-11,61.63,62.39,60.39,60.59,34563800
2021-05-12,60.01,61.68,59.75,60.04,34426500
2021-05-13,59.0,60.45,58.75,59.3,24268233
2021-05-14,59.93,60.88,59.93,60.77,20735400
2021-05-17,60.54,62.25,60.43,62.19,25282521
2021-05-18,62.0,62.3,60.4,60.43,25170801
2021-05-19,59.1,59.86,58.42,58.98,28889805
2021-05-20,58.95,59.15,58.24,58.84,20692500
2021-05-21,59.42,59.83,58.85,58.92,20792700
2021-05-24,59.08,59.8,58.69,59.61,18400300
2021-05-25,59.5,59.54,58.12,58.26,25616114
2021-05-26,58.25,59.12,57.9,58.94,21698700
2021-05-27,59.23,59.7,58.02,58.56,33556026
2021-05-28,58.73,58.8,58.11,58.37,19250009
2021-06-01,59.45,60.7,59.45,60.46,28474200
